240,2021-08-30 14:52:57+00,TRUE,Obour,EG,1
241,2021-08-30 14:52:57+00,TRUE,Khosous,EG,1
242,2021-08-30 14:52:57+00,TRUE,Shibin Al Qanater,EG,1
243,2021-08-30 14:52:57+00,TRUE,Mostorod,EG,1
244,2021-08-30 14:52:57+00,TRUE,El Kharga,EG,1
245,2021-08-30 14:52:57+00,TRUE,Paris,EG,1
246,2021-08-30 14:52:57+00,TRUE,Mout,EG,1
247,2021-08-30 14:52:57+00,TRUE,Farafra,EG,1
248,2021-08-30 14:52:57+00,TRUE,Balat,EG,1
249,2021-08-30 14:52:57+00,TRUE,Dakhla,EG,1
250,2021-08-30 14:52:57+00,TRUE,Suez,EG,1
251,2021-08-30 14:52:57+00,TRUE,Alganayen,EG,1
252,2021-08-30 14:52:57+00,TRUE,Ataqah,EG,1
253,2021-08-30 14:52:57+00,TRUE,Ain Sokhna,EG,1
254,2021-08-30 14:52:57+00,TRUE,Faysal,EG,1
255,2021-08-30 14:52:57+00,TRUE,Aswan,EG,1
256,2021-08-30 14:52:57+00,TRUE,Aswan El Gedida,EG,1
257,2021-08-30 14:52:57+00,TRUE,Drau,EG,1
258,2021-08-30 14:52:57+00,TRUE,Kom Ombo,EG,1
259,2021-08-30 14:52:57+00,TRUE,Nasr Al Nuba,EG,1
260,2021-08-30 14:52:57+00,TRUE,Kalabsha,EG,1
261,2021-08-30 14:52:57+00,TRUE,Edfu,EG,1
262,2021-08-30 14:52:57+00,TRUE,Al-Radisiyah,EG,1
263,2021-08-30 14:52:57+00,TRUE,Al Basilia,EG,1
264,2021-08-30 14:52:57+00,TRUE,Al Sibaeia,EG,1
265,2021-08-30 14:52:57+00,TRUE,Abo Simbl Al Siyahia,EG,1
266,2021-08-30 14:52:57+00,TRUE,Marsa Alam,EG,1
267,2021-08-30 14:52:57+00,TRUE,Assiut,EG,1
268,2021-08-30 14:52:57+00,TRUE,Assiut El Gedida,EG,1
269,2021-08-30 14:52:57+00,TRUE,Dayrout,EG,1
270,2021-08-30 14:52:57+00,TRUE,Manfalut,EG,1
271,2021-08-30 14:52:57+00,TRUE,Qusiya,EG,1
272,2021-08-30 14:52:57+00,TRUE,Abnoub,EG,1
273,2021-08-30 14:52:57+00,TRUE,Abu Tig,EG,1
274,2021-08-30 14:52:57+00,TRUE,El Ghanaim,EG,1
275,2021-08-30 14:52:57+00,TRUE,Sahel Selim,EG,1
276,2021-08-30 14:52:57+00,TRUE,El Badari,EG,1
277,2021-08-30 14:52:57+00,TRUE,Sidfa,EG,1
278,2021-08-30 14:52:57+00,TRUE,Bani Sweif,EG,1
279,2021-08-30 14:52:57+00,TRUE,Beni Suef El Gedida,EG,1
280,2021-08-30 14:52:57+00,TRUE,Al Wasta,EG,1
281,2021-08-30 14:52:57+00,TRUE,Naser,EG,1
282,2021-08-30 14:52:57+00,TRUE,Ehnasia,EG,1
283,2021-08-30 14:52:57+00,TRUE,beba,EG,1
284,2021-08-30 14:52:57+00,TRUE,Fashn,EG,1
285,2021-08-30 14:52:57+00,TRUE,Somasta,EG,1
286,2021-08-30 14:52:57+00,TRUE,Alabbaseri,EG,1
287,2021-08-30 14:52:57+00,TRUE,Mokbel,EG,1
288,2021-08-30 14:52:57+00,TRUE,PorSaid,EG,1
289,2021-08-30 14:52:57+00,TRUE,Port Fouad,EG,1
290,2021-08-30 14:52:57+00,TRUE,Alarab,EG,1
291,2021-08-30 14:52:57+00,TRUE,Zohour,EG,1
292,2021-08-30 14:52:57+00,TRUE,Alsharq,EG,1
293,2021-08-30 14:52:57+00,TRUE,Aldawahi,EG,1
294,2021-08-30 14:52:57+00,TRUE,Almanakh,EG,1
295,2021-08-30 14:52:57+00,TRUE,Mubarak,EG,1
296,2021-08-30 14:52:57+00,TRUE,Damietta,EG,1
297,2021-08-30 14:52:57+00,TRUE,New Damietta,EG,1
298,2021-08-30 14:52:57+00,TRUE,Ras El Bar,EG,1
299,2021-08-30 14:52:57+00,TRUE,Faraskour,EG,1
300,2021-08-30 14:52:57+00,TRUE,Zarqa,EG,1
301,2021-08-30 14:52:57+00,TRUE,alsaru,EG,1
302,2021-08-30 14:52:57+00,TRUE,alruwda,EG,1
303,2021-08-30 14:52:57+00,TRUE,Kafr El-Batikh,EG,1
304,2021-08-30 14:52:57+00,TRUE,Azbet Al Burg,EG,1
305,2021-08-30 14:52:57+00,TRUE,Meet Abou Ghalib,EG,1
306,2021-08-30 14:52:57+00,TRUE,Kafr Saad,EG,1
307,2021-08-30 14:52:57+00,TRUE,Zagazig,EG,1
308,2021-08-30 14:52:57+00,TRUE,Al Ashr Men Ramadan,EG,1
309,2021-08-30 14:52:57+00,TRUE,Minya Al Qamh,EG,1
310,2021-08-30 14:52:57+00,TRUE,Belbeis,EG,1
311,2021-08-30 14:52:57+00,TRUE,Mashtoul El Souq,EG,1
312,2021-08-30 14:52:57+00,TRUE,Qenaiat,EG,1
313,2021-08-30 14:52:57+00,TRUE,Abu Hammad,EG,1
314,2021-08-30 14:52:57+00,TRUE,El Qurain,EG,1
315,2021-08-30 14:52:57+00,TRUE,Hehia,EG,1
316,2021-08-30 14:52:57+00,TRUE,Abu Kabir,EG,1
317,2021-08-30 14:52:57+00,TRUE,Faccus,EG,1
318,2021-08-30 14:52:57+00,TRUE,El Salihia El Gedida,EG,1
319,2021-08-30 14:52:57+00,TRUE,Al Ibrahimiyah,EG,1
320,2021-08-30 14:52:57+00,TRUE,Deirb Negm,EG,1
321,2021-08-30 14:52:57+00,TRUE,Kafr Saqr,EG,1
322,2021-08-30 14:52:57+00,TRUE,Awlad Saqr,EG,1
323,2021-08-30 14:52:57+00,TRUE,Husseiniya,EG,1
324,2021-08-30 14:52:57+00,TRUE,san alhajar alqablia,EG,1
325,2021-08-30 14:52:57+00,TRUE,Manshayat Abu Omar,EG,1
326,2021-08-30 14:52:57+00,TRUE,Al Toor,EG,1
327,2021-08-30 14:52:57+00,TRUE,Sharm El-Shaikh,EG,1
328,2021-08-30 14:52:57+00,TRUE,Dahab,EG,1
329,2021-08-30 14:52:57+00,TRUE,Nuweiba,EG,1
330,2021-08-30 14:52:57+00,TRUE,Taba,EG,1
331,2021-08-30 14:52:57+00,TRUE,Saint Catherine,EG,1
332,2021-08-30 14:52:57+00,TRUE,Abu Redis,EG,1
333,2021-08-30 14:52:57+00,TRUE,Abu Zenaima,EG,1
334,2021-08-30 14:52:57+00,TRUE,Ras Sidr,EG,1
335,2021-08-30 14:52:57+00,TRUE,Kafr El Sheikh,EG,1
336,2021-08-30 14:52:57+00,TRUE,Kafr El Sheikh Downtown,EG,1
337,2021-08-30 14:52:57+00,TRUE,Desouq,EG,1
338,2021-08-30 14:52:57+00,TRUE,Fooh,EG,1
339,2021-08-30 14:52:57+00,TRUE,Metobas,EG,1
340,2021-08-30 14:52:57+00,TRUE,Burg Al Burullus,EG,1
341,2021-08-30 14:52:57+00,TRUE,Baltim,EG,1
342,2021-08-30 14:52:57+00,TRUE,Masief Baltim,EG,1
343,2021-08-30 14:52:57+00,TRUE,Hamol,EG,1
344,2021-08-30 14:52:57+00,TRUE,Bella,EG,1
345,2021-08-30 14:52:57+00,TRUE,Riyadh,EG,1
346,2021-08-30 14:52:57+00,TRUE,Sidi Salm,EG,1
347,2021-08-30 14:52:57+00,TRUE,Qellen,EG,1
348,2021-08-30 14:52:57+00,TRUE,Sidi Ghazi,EG,1
349,2021-08-30 14:52:57+00,TRUE,Marsa Matrouh,EG,1
350,2021-08-30 14:52:57+00,TRUE,El Hamam,EG,1
351,2021-08-30 14:52:57+00,TRUE,Alamein,EG,1
352,2021-08-30 14:52:57+00,TRUE,Dabaa,EG,1
353,2021-08-30 14:52:57+00,TRUE,Al-Nagila,EG,1
354,2021-08-30 14:52:57+00,TRUE,Sidi Brani,EG,1
355,2021-08-30 14:52:57+00,TRUE,Salloum,EG,1
356,2021-08-30 14:52:57+00,TRUE,Siwa,EG,1
357,2021-08-30 14:52:57+00,TRUE,Marina,EG,1
358,2021-08-30 14:52:57+00,TRUE,North Coast,EG,1
359,2021-08-30 14:52:57+00,TRUE,Luxor,EG,1
360,2021-08-30 14:52:57+00,TRUE,New Luxor,EG,1
361,2021-08-30 14:52:57+00,TRUE,Esna,EG,1
362,2021-08-30 14:52:57+00,TRUE,New Tiba,EG,1
363,2021-08-30 14:52:57+00,TRUE,Al ziynia,EG,1
364,2021-08-30 14:52:57+00,TRUE,Al Bayadieh,EG,1
365,2021-08-30 14:52:57+00,TRUE,Al Qarna,EG,1
366,2021-08-30 14:52:57+00,TRUE,Armant,EG,1
367,2021-08-30 14:52:57+00,TRUE,Al Tud,EG,1
368,2021-08-30 14:52:57+00,TRUE,Qena,EG,1
369,2021-08-30 14:52:57+00,TRUE,New Qena,EG,1
370,2021-08-30 14:52:57+00,TRUE,Abu Tesht,EG,1
371,2021-08-30 14:52:57+00,TRUE,Nag Hammadi,EG,1
372,2021-08-30 14:52:57+00,TRUE,Deshna,EG,1
373,2021-08-30 14:52:57+00,TRUE,Alwaqf,EG,1
374,2021-08-30 14:52:57+00,TRUE,Qaft,EG,1
375,2021-08-30 14:52:57+00,TRUE,Naqada,EG,1
376,2021-08-30 14:52:57+00,TRUE,Farshout,EG,1
377,2021-08-30 14:52:57+00,TRUE,Quos,EG,1
378,2021-08-30 14:52:57+00,TRUE,Arish,EG,1
379,2021-08-30 14:52:57+00,TRUE,Sheikh Zowaid,EG,1
380,2021-08-30 14:52:57+00,TRUE,Nakhl,EG,1
381,2021-08-30 14:52:57+00,TRUE,Rafah,EG,1
382,2021-08-30 14:52:57+00,TRUE,Bir al-Abed,EG,1
383,2021-08-30 14:52:57+00,TRUE,Al Hasana,EG,1
384,2021-08-30 14:52:57+00,TRUE,Sohag,EG,1
385,2021-08-30 14:52:57+00,TRUE,Sohag El Gedida,EG,1
386,2021-08-30 14:52:57+00,TRUE,Akhmeem,EG,1
387,2021-08-30 14:52:57+00,TRUE,Akhmim El Gedida,EG,1
388,2021-08-30 14:52:57+00,TRUE,Albalina,EG,1
389,2021-08-30 14:52:57+00,TRUE,El Maragha,EG,1
390,2021-08-30 14:52:57+00,TRUE,almunsha'a,EG,1
391,2021-08-30 14:52:57+00,TRUE,Dar AISalaam,EG,1
392,2021-08-30 14:52:57+00,TRUE,Gerga,EG,1
393,2021-08-30 14:52:57+00,TRUE,Jahina Al Gharbia,EG,1
394,2021-08-30 14:52:57+00,TRUE,Saqilatuh,EG,1
395,2021-08-30 14:52:57+00,TRUE,Tama,EG,1
396,2021-08-30 14:52:57+00,TRUE,Tahta,EG,1
397,2021-08-30 14:52:57+00,TRUE,Alkawthar,EG,1
